{'frame_counter': 125, 'label': 'angry', 'lma_features': [1.233332565659636, 0.29851328834212726, 0.3639386215028836, 0.5730056679483526, 0.48317864998929366, 0.5160703706732992, 0.3599657571283669, 0.3901902056762839, 0.28615099998186916, 0.2787752110612859, (0.014821187526052618, -0.10780330733237335, -0.09495566370832903, 0.9893349681929134), 0.22168036936019478, 0.20463108186072593, 0.06328990423288226, 0.5612647147922128, 1.2931282854239503, 0.5265237441183704, 0.8077720689189006, 0.7906541040400669, 0.5612647147922128, 1.2931282854239503, 0.5265237441183704, 0.8077720689189006, 0.7906541040400669, (-0.45058178913485936, -0.05120764268926359, 0.33071424024529383), (-1.1138232115756947, -0.6535804340307368, 0.0664171075166946), (-0.48431524098328094, 0.028086335928968004, 0.20463909256498125), (-0.7999581926498074, -0.008082537276121932, -0.11179122474127734), (-0.746991133840802, 0.09994862196912169, 0.23905738048658431)]}
{'frame_counter': 250, 'label': 'angry', 'lma_features': [1.234199277955665, 0.40059964889240135, 0.5168361439169245, 0.6439917805902824, 0.5281492233887585, 0.5582347598380588, 0.40861336728056075, 0.44803747032425006, 0.28615099995911936, 0.27882416692567785, (-0.01634907794645898, -0.033289044966404814, -0.19363841191134804, 0.9762922993219465), 0.5800190854521956, 0.21300011765963417, 0.15283352478271595, 0.5681819641536101, 1.35864459299575, 0.6183935522959172, 0.9954023606127934, 0.8932821557608026, 1.1207233508569787, 2.6514789228265485, 1.1430911285699232, 1.801539668248947, 1.678516507918831, (1.4226613144989804, 0.17859574957521707, -0.8737193007631245), (3.3772705014655298, 2.026626232459791, -0.21437683007698238), (1.5603434539392724, -0.09804245634188802, -0.5840158898981462), (2.5777358397076746, -0.05064939973443963, 0.39745251625783373), (2.366502178203416, -0.33871613097396036, -0.6099909610467247)]}
{'frame_counter': 375, 'label': 'angry', 'lma_features': [1.135434379806346, 0.51909951041555, 0.768893281115469, 0.6405626597346824, 0.538729286109858, 0.5215235461198053, 0.43773030831367066, 0.48046790283323965, 0.2861509999614305, 0.27869745041025307, (-0.002756044876999626, 0.021505487543292578, -0.17024354676008127, 0.9817731123190362), 0.6898969214709589, 0.07290279427951428, 0.21891660041196867, 0.5880248462024473, 0.6976018569565547, 0.4649402011442974, 0.3078152026130926, 0.4898635170272212, 0.4821637826925378, 1.0462098762081895, 0.5280514594140717, 0.7183492749159026, 0.5366692787676234, (-0.9654813761570606, -0.24472412886266381, 1.0106273821772005), (-2.7486170772657363, -2.283255821980906, 0.3231256311124806), (-1.3083564828916474, 0.1541029618471246, 0.8460471604961612), (-2.4881960638352405, 0.16200113430108123, -0.31148428062906985), (-2.0322868620967, 0.4081909754622992, 0.6691377523627087)]}
{'frame_counter': 500, 'label': 'angry', 'lma_features': [1.0647472347315752, 0.3466820666994859, 0.6779179921560308, 0.47897098983175845, 0.4950176474097875, 0.5521005208773989, 0.3742138125390146, 0.4719607245204942, 0.2861509999844596, 0.2785717624880039, (-0.021979933575815416, 0.06464973780578798, -0.26205884204276764, 0.9621370323161176), 0.8094838956828747, 0.1844407558709027, 0.2127748085856026, 0.20342453982327552, 0.47208536826199415, 0.16780293365292337, 0.16184920032681036, 0.16561459942052356, 0.46348826208353155, 0.9668023401633992, 0.6241068667358101, 0.46781012877602757, 0.6549551214936012, (-0.3696572109241636, 0.041745774678642156, -0.7456431865377562), (-0.46746018388825394, 0.7479962053655708, -0.1453400810849157), (-0.28545442369163165, -0.11846260918951323, -0.8134165114764627), (0.29081484290141635, -0.1429158752087358, -0.17717281947972596), (-0.20449110450355512, -0.1962367654820547, -0.515526064112998)]}
{'frame_counter': 625, 'label': 'angry', 'lma_features': [1.2362252401688865, 0.39061510174184716, 0.6998155361599514, 0.48068126600136024, 0.5224509699691746, 0.5665841283730502, 0.40228922902135095, 0.48321741350729097, 0.28615099999167976, 0.2785681796367665, (0.005305834733673154, 0.03645322442658796, -0.26756061458842634, 0.9621527809822223), 0.9146212591224433, 0.17562923274326234, 0.2135186694494394, 0.4200834194718705, 0.611162863352403, 0.17726306269281608, 0.1720896653594744, 0.04822378536212363, 0.579184783845914, 0.9866535760035456, 0.3405627034873203, 0.3327274598428249, 0.179098054728087, (-0.01880116014240052, 0.4401881205934123, 0.03989027971856096), (1.1386164735613358, 1.1157565021431364, -0.2020194681053744), (0.8391323796476486, -0.03411193576480784, 0.4363842188648279), (0.7410698229033299, 0.039534165282923917, 0.2888270418971186), (0.7679846864449251, 0.03901812085969514, 0.31329746776437384)]}
{'frame_counter': 750, 'label': 'angry', 'lma_features': [1.1802782623226458, 0.5321807437611319, 0.8559934908600856, 0.5260901628158565, 0.5208952667765304, 0.6187253113925159, 0.4368857563385262, 0.5325816881711546, 0.2861510000054066, 0.27885166396280564, (0.009666565777938618, 0.09037588058464474, -0.1611536244343072, 0.9806674370127204), 0.8703399900711907, 0.09040293348148797, 0.21369692213821845, 0.5122102747940649, 0.5126867651998619, 0.2801336346639597, 0.13713546434396603, 0.19884221371132305, 0.8247704483389293, 1.063952554646735, 0.4184872272736632, 0.2651414188671285, 0.16217191091553615, (0.4787774065627062, -0.6860923977853003, 0.9914529746355272), (0.22440131598973512, -1.8959793755549377, 0.44676596165877136), (-0.6576970291376236, 0.2883482484459431, 0.027139401970887267), (-0.5745155940231648, 0.02193743233856571, -0.009741326773063275), (-0.06095499952227179, -0.012708180482136067, 0.039087822238295544)]}
{'frame_counter': 875, 'label': 'angry', 'lma_features': [1.0744255606047035, 0.3375745717957281, 0.5622740530018044, 0.5341285173264384, 0.4824004009876763, 0.5247889179310206, 0.3730376358371277, 0.4343985789453023, 0.28615099995085685, 0.2786490879416375, (-0.002681318116884853, 0.10324848897826312, -0.25217860926464974, 0.9616261554557275), 0.7791728001007825, 0.2098521721532842, 0.20869233529613346, 0.30377253201039767, 0.7511505047201372, 0.3540675867914182, 0.41504554464562865, 0.4179565845275952, 0.715331874482605, 0.9864888396117338, 0.4019572658953673, 0.37885832764857347, 0.5734004335033874, (-0.14281632701344726, 0.265716855307343, -1.4649977445404505), (-1.3221802078613196, 0.860214813898655, -0.6420426352234458), (0.1913437284714048, -0.4909151000371028, -0.37582485514897224), (-0.06719658945261742, -0.07572361731789529, -0.2712080868569373), (-0.5642139954640069, -0.07737516410029777, -0.447503827932731)]}
{'frame_counter': 1000, 'label': 'angry', 'lma_features': [1.1658236469670036, 0.4505879972871635, 0.7218161423887146, 0.46824183334006175, 0.5265995162401934, 0.556090165030843, 0.42122349792252967, 0.48832960744557985, 0.28615099998673826, 0.27854453125391215, (-0.019431573431813155, 0.05129104371459094, -0.1675918059288291, 0.9823341702391462), 0.8338556481468474, 0.13292567330374638, 0.20122620667525928, 0.37580520389457855, 0.7307807807387104, 0.16742300782924652, 0.19957036793303148, 0.20170348188356765, 0.5381534561127856, 1.2562307705259461, 0.4555278168692513, 0.5247596094266612, 0.3617637931624849, (0.5179300007094216, 0.3109115281343806, 0.7529394443125663), (1.5124550834957207, 1.1748117936677551, 0.21395369467341396), (0.5782117458905986, 0.41141027883276404, 0.24810519377456597), (0.8374675705270462, 0.09966816505279744, 0.1192262656820855), (0.8126708800454674, 0.1940879198396812, 0.25788873988349126)]}
{'frame_counter': 1125, 'label': 'angry', 'lma_features': [0.9715175651043804, 0.37815522728029854, 0.6416727197775165, 0.5596480773243917, 0.4672634321489244, 0.5309779662810056, 0.3685499383514625, 0.46009829482643916, 0.2861509999899747, 0.2786075539239036, (-0.01198467021861306, 0.03274346246743189, -0.2025180242967555, 0.9781483210754772), 0.770921480669598, 0.1748526569439669, 0.23803985271535022, 0.5441074564104846, 0.4610346599487357, 0.3960585609109286, 0.27273646010647357, 0.2959935474400993, 0.8297842356843772, 1.1499443572013268, 0.4229111349882666, 0.33776824659053895, 0.14827703161472555, (-1.2455550427585038, -0.5525720604256183, -0.08289016647765957), (-0.7407296088477899, -2.199135038375155, 0.4333579604349005), (-0.8130863479810175, -0.207252602804038, -0.1624913723199377), (-0.8540205095978672, -0.06989131409011595, 0.08437977156483623), (-0.4259679306643358, -0.21333319170940146, -0.015113837240085637)]}
{'frame_counter': 1250, 'label': 'angry', 'lma_features': [1.1391342025052837, 0.4572809483874222, 0.7564269326975596, 0.6027667100392972, 0.5505968051436785, 0.5534196091115322, 0.43228523709305966, 0.4972778043739326, 0.28615100000700194, 0.27854037705622536, (-0.0393124929485936, -0.0033617225179182583, -0.19072153359086905, 0.9799344397356432), 0.8300042646347183, 0.10948050471434566, 0.24496544187649505, 0.3718269465052574, 0.5871104189495778, 0.4261062663544169, 0.4219339354958343, 0.3449438642110428, 0.8995210414292583, 1.0317646489329217, 0.8124264908745104, 0.688291689225955, 0.616268414739748, (1.608378477569878, 0.50248241845929, 0.3064152049573927), (0.502037184286868, 2.058465248422465, -0.44526167996096744), (1.0116281379193186, 0.11305463307165753, 0.6821503383439254), (0.9593212103508133, 0.04943476425786775, 0.284036750257731), (0.5288200357227488, 0.17085809693884824, 0.49370057237962195)]}
