{'frame_counter': 20, 'label': 'sad', 'lma_features': [0.3883812002379176, 0.19262148497442136, 0.20939105988809908, 0.171499692684001, 0.3424734073938815, 0.3529160108185551, 0.19937677962791447, 0.21094671728616113, 0.23615098528086423, 0.2238939961246589, 0.11697241845734246, 0.032657004932882434, 0.04092703337174183, 0.09942079425081511, 0.07024776029349787, -0.006987645355610523, -0.007493991580037871, -0.007730604358004062, -0.00850290665601667, -0.006369842699222244, 0.0034938226778052613, 0.0037469957900189356, 0.003865302179002031, 0.004251453328008335, 0.003184921349611122]}
{'frame_counter': 40, 'label': 'sad', 'lma_features': [0.3881825409052141, 0.19330840482922837, 0.2084787178579041, 0.1749617831784023, 0.34273760600827247, 0.35237062190165286, 0.19977633643873685, 0.21045890159430752, 0.23615100136155148, 0.2238939778876786, 0.11709389340172205, 0.03258719968235831, 0.04085114350064328, 0.09935458707064371, 0.07156945635833037, -0.0030838690485920153, -0.002587980000180563, -0.002906127858860255, -0.002273804442642351, -0.0038369621416323783, 0.0022772670791580615, 0.002608974786234322, 0.003570174666204039, 0.003344055416453186, 0.0021997621355605125]}
{'frame_counter': 60, 'label': 'sad', 'lma_features': [0.38878851233034883, 0.1960636710024206, 0.20623948531103625, 0.1783737329770284, 0.34429497809882276, 0.3510834117493826, 0.20123038569141255, 0.2091591500463616, 0.23615098370211823, 0.22389402280243725, 0.11671229680209705, 0.03251607762704719, 0.04091821987569445, 0.09949375479285227, 0.07304245000054686, -0.005718712827576563, -0.005369406347463522, -0.0035276379780370642, -0.0035448378713824344, -0.0047049511964406725, 0.002552715138031687, 0.002136639179542253, 0.001985193385714988, 0.001782185705748111, 0.002222914170363866]}
{'frame_counter': 80, 'label': 'sad', 'lma_features': [0.39118597329001237, 0.19873511819959538, 0.20527970972106094, 0.18171097209835524, 0.3459512701181712, 0.35048332708911784, 0.2023856181610378, 0.20922410104356995, 0.23615100469724926, 0.22389398572604408, 0.1158127031624238, 0.03244290790882765, 0.0407618624361919, 0.09995909076228296, 0.07456087858772976, -0.008732783423838495, -0.008434126852865736, -0.004690991789656675, -0.005467528660831704, -0.0074427121175047566, 0.001695737329120924, 0.0016926937459458807, 0.0010207741330460832, 0.0011179937304915376, 0.0017910679657256662]}
{'frame_counter': 100, 'label': 'sad', 'lma_features': [0.39105888025988494, 0.20029533178868686, 0.2014065732179943, 0.185469698138567, 0.3469807674633195, 0.3475379733389526, 0.20302908845823744, 0.21124869063472979, 0.2361509968417002, 0.22389402111191198, 0.11424070122292163, 0.03242935431644646, 0.04030928813505076, 0.09929998187124418, 0.07618902802236241, -0.011847819141203994, -0.0037244553016424677, -0.007820884496282281, -0.008243170698530181, -0.00942570669838048, 0.0016189802878408398, 0.003348804540700855, 0.0016227662052303228, 0.0014034810362558408, 0.0010039114117964762]}
{'frame_counter': 120, 'label': 'sad', 'lma_features': [0.38316194921428326, 0.20095818878803215, 0.19072883350965678, 0.18889386951475212, 0.3474686554406915, 0.33799827405774124, 0.20314181005673043, 0.21407891511233804, 0.23615099465612777, 0.22389401127578784, 0.11071192874528654, 0.03173377866700004, 0.03877913998492667, 0.09613832213038014, 0.07767223718616437, -0.010472779944117008, -0.012964168717522814, -0.006010635357317815, -0.006407588272153811, -0.009547816571907449, 0.0006996548010399592, 0.006467957671090692, 0.0010468409560688275, 0.0011331197587286846, 0.000738789821253515]}
{'frame_counter': 140, 'label': 'sad', 'lma_features': [0.36636205582327963, 0.2007892819692536, 0.17489439559389472, 0.19140283287258056, 0.3473972517031586, 0.2991993958074707, 0.20312461382518737, 0.2235085082246342, 0.23615101868423544, 0.22389396712679605, 0.11168155199205532, 0.033201992977373834, 0.037270529372117625, 0.08553998415166134, 0.07892162980310292, -0.011428431983837457, -0.06377453691548053, -0.007050473692544281, -0.0073048328608984045, -0.010188184944159242, 0.0007743249326070832, 0.02549661631728573, 0.0008339228069933259, 0.0011883451757663498, 0.000865111586364306]}
{'frame_counter': 160, 'label': 'sad', 'lma_features': [0.3994003228479241, 0.19888431858431127, 0.24189548624046994, 0.19304819781711177, 0.3461261167635255, 0.23906630925034128, 0.20300601950396463, 0.22631889323414306, 0.2361509915989109, 0.22389401680268045, 0.15663276518785924, 0.049156663856391516, 0.03548921783873213, 0.07267146385866337, 0.07973565372504124, -0.005175799225774632, -0.0827660428450161, -0.005114061868747411, -0.005708167427668421, -0.008784951434807361, 0.0031547079800653024, 0.018389762328706906, 0.001405732136108023, 0.0013538049815220456, 0.000873516590427762]}
{'frame_counter': 180, 'label': 'sad', 'lma_features': [0.4398444744919706, 0.18831289567042647, 0.35205712953951024, 0.19508823328922673, 0.33618578176536, 0.21688511548785563, 0.206812812578372, 0.21905794412173835, 0.23615099788701538, 0.22389398842039804, 0.17467895803479436, 0.057150115421535766, 0.034226443554389765, 0.0573914443680286, 0.08047216869193949, -0.0270516132989718, -0.0804129483210329, -0.004929145192141706, -0.005502207139136563, -0.00944625763709098, 0.014920261087984088, 0.025378503361360313, 0.00031102278504395426, 0.0003792070157247953, 0.0005160625154566255]}
{'frame_counter': 200, 'label': 'sad', 'lma_features': [0.42685927738629326, 0.17633387253060354, 0.41400384462070683, 0.1967682333914836, 0.26274201128301844, 0.19897767492715818, 0.21995692661870775, 0.20926483411904745, 0.2361510028089912, 0.22389399992165332, 0.15464227864962213, 0.04692267232617604, 0.032426898064075824, 0.021181814479050532, 0.08108930556941969, -0.0978204266453926, -0.0736735586374795, -0.0025261093884874812, -0.002938978832300512, -0.006631221116390622, 0.03763560162667935, 0.03397132025959432, 0.0013108476812474766, 0.0015169829420767912, 0.0014186801894285415]}
