{'frame_counter': 60, 'label': 'tired', 'lma_features': [1.371396123759611, 0.7987474183608574, 0.7103353178047932, 0.2728586435174682, 0.71641721155305, 0.6634172173332721, 0.5802983189372949, 0.5318345068771705, 0.2861509999973523, 0.278575846705621, (-0.02697740728276053, -0.03196959702739133, -0.05381053528914403, 0.997674283137658), (9.871662661712164e-05, -0.03312564842719574, -0.01254843961508654, 0.9993721217256187), 0.7879026101163398, 0.4551503818622215, (0.020976293833319084,), (0.00134300713463854,), (0.0006135732672052396, 0.0006643332423383815, -0.00014923066809414121), (-0.05141999391738697, -0.0001398339256029549, 0.02676024264338767), (-0.0066474721987663165, -0.01286131647908698, -0.00014340643517802965), 0.07286334366494894, 0.5712777782975517, 2.7783518923476748e-05]}
{'frame_counter': 90, 'label': 'tired', 'lma_features': [1.3716951907107022, 0.7993497305904498, 0.7100085381737741, 0.28267728387032787, 0.7166451028349934, 0.6635197389798091, 0.5804852062699231, 0.5319281700450892, 0.28615099999991905, 0.2785745514822112, (-0.02605686582949531, -0.03240268403848647, -0.055364971126206884, 0.9975997565987725), (0.00020506604726817004, -0.033621548951388976, -0.013458004072470156, 0.9993433985906107), 0.7879944509567346, 0.4556566456508275, (-0.01209787821744817,), (-0.003109321196522256,), (-0.0013862579341405593, -0.00035504570530416003, 0.0007959951573596104), (-0.010760239827277644, 0.025702732340318116, 0.016230292417169095), (0.0029895630040787597, -0.001717104420181995, -0.0013663627755838975), 0.07290272646022733, 0.5714858540790873, 9.252502448107236e-06]}
{'frame_counter': 120, 'label': 'tired', 'lma_features': [1.372813694528692, 0.8023587488502409, 0.7097801166304013, 0.27702021908257185, 0.7177846564590464, 0.663637086923767, 0.5815346134586871, 0.5320487621421724, 0.28615099999905513, 0.2786003624053925, (-0.025709927476547927, -0.03400781019312638, -0.056329555369256976, 0.9975014292303538), (-0.0010381472518843093, -0.03520951062627161, -0.015841461361201067, 0.9992534942895289), 0.7893904980638435, 0.4566759983443596, (0.002157885723532866,), (-8.230161960407807e-05,), (-0.0001775400993770182, 0.0006483726809979221, 0.0011243255751470387), (-0.09095756236903149, -0.015972354834551054, 0.025829084547005738), (0.0021120776981879033, 0.008946712890107055, 0.004398764778018746), 0.0730035176373938, 0.5723105460469932, 1.6115511533408355e-05]}
{'frame_counter': 150, 'label': 'tired', 'lma_features': [1.371416310213062, 0.8032307051970398, 0.7074094629731345, 0.2714274063647569, 0.718164295318844, 0.6623914388857612, 0.5818595391715914, 0.530895038309979, 0.2861509999974816, 0.278623090045382, (-0.025439626889155662, -0.035551852195709034, -0.05628995286436724, 0.9974568580037444), (-0.00192461369944069, -0.03671515924724943, -0.01729381087539338, 0.9991741247136755), 0.7889003457010523, 0.4551313739514276, (-0.01245459373093628,), (0.004489691994354878,), (0.0012799334333499723, -0.0004181974562579335, 8.21103001118038e-05), (-0.02126397708172243, 0.005114311423516556, 0.010873764160948164), (-0.0003161801131487026, -0.0037752743321017444, -0.0026132336882480566), 0.07290078408702022, 0.5714904436403879, 1.8207617368200064e-05]}
{'frame_counter': 180, 'label': 'tired', 'lma_features': [1.371320764228447, 0.8029545149950272, 0.706822291555851, 0.2700464815316125, 0.7181032257261298, 0.6623129327282284, 0.5817843109852958, 0.5307777816613976, 0.28615100000040705, 0.2786386949713279, (-0.024901407956134484, -0.03549082809079606, -0.05597642389150058, 0.9974903107255703), (-0.0023094195798199478, -0.03661504490703605, -0.017975210723773845, 0.9991650471872668), 0.7880976571061605, 0.45493917718737636, (-0.013467020664017188,), (0.004943615725782957,), (0.002840754385428548, -0.0001524541833999794, -0.0009439915162820964), (-0.004600607977605881, 0.022539210327220647, 0.02150277888541432), (0.0055440359347213196, -0.0040414747485352275, -0.0013256094595864266), 0.07289914041772048, 0.571506184190507, 2.4387287165799734e-05]}
{'frame_counter': 210, 'label': 'tired', 'lma_features': [1.3711064918379108, 0.8017748591617682, 0.7074636862809001, 0.2695671547523097, 0.7177106145876034, 0.6625183397231371, 0.5814131152100134, 0.5309656707865386, 0.2861509999990155, 0.2786269579474089, (-0.025846681855846758, -0.034826128751732785, -0.055563842463752434, 0.9975126494860179), (-0.0017633693340960135, -0.0360355047927412, -0.0172958478006291, 0.9991991484172497), 0.7872940991059932, 0.4544653616365747, (0.0035929469914233953,), (0.0017116849379803932,), (0.004948374383187438, 0.000235964462143982, -0.00037786685156756687), (-0.11679554271090725, -0.016781527592073832, 0.03347733307765726), (-0.006802106272101824, 0.010572104752807395, 0.00275872471208883), 0.0728809682444183, 0.5713610012036034, 3.0917796253094596e-05]}
{'frame_counter': 240, 'label': 'tired', 'lma_features': [1.3694762174823623, 0.7996238105735247, 0.7052886770947351, 0.2744997861028686, 0.716897412478983, 0.6615498598834333, 0.5806550955296249, 0.5300601859527928, 0.28615100000169785, 0.2786002949062149, (-0.027282811264070728, -0.03290799691190501, -0.05544691009241143, 0.9975458904610037), (-0.0018453028822277028, -0.03401317433685437, -0.015428539443556877, 0.9993002328767585), 0.7858055869193077, 0.4522063033004831, (0.008230362277891519,), (-0.00031902625043182803,), (0.005850074859646659, -0.0005842159595468873, -0.002717884698188389), (0.015113908662969237, 0.0052449939336680265, -0.009233724765982682), (-0.007651133422249142, -0.011027437472992832, -0.004796514039723402), 0.07275256163003997, 0.5702645016777846, 3.787195561050123e-05]}
{'frame_counter': 270, 'label': 'tired', 'lma_features': [1.367642104313919, 0.7979301057557001, 0.7050073932243281, 0.27459004263159464, 0.7162583807747152, 0.6609904776819211, 0.5800565185438575, 0.5295477298048928, 0.28615099999934573, 0.27856601247487506, (-0.02833573023323703, -0.03034109631012982, -0.05513095276263417, 0.9976152557532091), (-0.0016456303736368334, -0.03127871778872081, -0.012720320488004193, 0.9994276416602612), 0.7848534266326812, 0.44949554593285573, (0.009875764650647404,), (0.0006239436664665445,), (0.005381705019846953, -7.342933344024347e-05, -0.00603641577231956), (-0.024202698139325414, 0.004175814209752266, 0.009319816294285053), (0.0007163059861385396, -0.005697102407819909, -0.002736150231082977), 0.0726068725527858, 0.5691815281621574, 4.953886166781983e-05]}
{'frame_counter': 300, 'label': 'tired', 'lma_features': [1.3659481108584182, 0.7955319110018727, 0.7050832596400943, 0.2732929400233074, 0.7153369705341771, 0.660678838866687, 0.579195914139897, 0.5292494911366393, 0.2861509999981478, 0.27853927951095336, (-0.03016285158172877, -0.027975791629770087, -0.05435694949214702, 0.9976734517699686), (-0.002288313734071579, -0.02864767214425044, -0.010314388358018118, 0.9995333572072124), 0.7831600958525539, 0.447744973701614, (-7.213781894608052e-05,), (-0.00012299971310251057,), (0.002593928545054805, 0.00034104467455062004, -0.0066936690072085855), (-0.09785442579248829, 0.0022021675216262887, 0.0381920062956815), (-0.002623576756250318, -0.0006271373333666543, 0.0024966243192670514), 0.07247262211181985, 0.5681566207206299, 5.3118754440039096e-05]}
{'frame_counter': 330, 'label': 'tired', 'lma_features': [1.365191045094276, 0.7948682840686297, 0.7060856689628147, 0.27072648000298716, 0.715164411246287, 0.6606946526070192, 0.5790206778441701, 0.5292709133426197, 0.2861510000003049, 0.2785231177927949, (-0.03234766762519788, -0.027065924227583898, -0.05449170423592649, 0.997622685454484), (-0.0036840409549203173, -0.027503631556497772, -0.009559490511082822, 0.9995687205483447), 0.7823731077989897, 0.4470482418740232, (-0.010010438253361198,), (-0.0014308126493599777,), (-0.0007884754556331163, -0.00030528912820907756, -0.005242005036233702), (0.03735540196779287, -0.0006586537897574504, -0.027869088336801538), (-0.004403989998371124, -0.0033387652055719393, -0.0029748401189734364), 0.07240605884267075, 0.5676837927792651, 5.5081414882186714e-05]}
